date,close_nse
2000-01-03,1592.2
2000-01-04,1638.7
2000-01-05,1595.8
2000-01-06,1617.6
2000-01-07,1613.3
2000-01-10,1632.95
2000-01-11,1572.5
2000-01-12,1624.8
2000-01-13,1621.4
2000-01-14,1622.75
2000-01-18,1606.7
2000-01-19,1634.85
2000-01-20,1601.1
2000-01-21,1620.6
2000-01-24,1613.6
2000-01-25,1586.4
2000-01-26,1586.4
2000-01-27,1603.9
2000-01-28,1599.1
2000-01-31,1546.2
2000-02-01,1549.5
2000-02-02,1588.0
2000-02-03,1597.9
2000-02-04,1599.75
2000-02-07,1636.6
2000-02-08,1662.75
2000-02-09,1689.65
2000-02-10,1711.2
2000-02-11,1756.0
2000-02-14,1744.5
2000-02-15,1702.55
2000-02-16,1711.1
2000-02-17,1742.1
2000-02-18,1717.8
2000-02-22,1739.05
2000-02-23,1696.4
2000-02-24,1732.0
2000-02-25,1710.45
2000-02-28,1722.55
2000-02-29,1654.8
2000-03-01,1712.7
2000-03-02,1696.55
2000-03-03,1656.0
2000-03-06,1688.5
2000-03-07,1702.75
2000-03-08,1666.35
2000-03-09,1646.25
2000-03-10,1602.75
2000-03-13,1560.7
2000-03-14,1567.05
2000-03-15,1620.1
2000-03-16,1562.2
2000-03-17,1562.2
2000-03-20,1562.2
2000-03-21,1556.6
2000-03-22,1589.6
2000-03-23,1553.4
2000-03-24,1569.55
2000-03-27,1562.95
2000-03-28,1568.6
2000-03-29,1558.25
2000-03-30,1549.5
2000-03-31,1528.45
2000-04-03,1534.75
2000-04-04,1428.1
2000-04-05,1434.65
2000-04-06,1452.95
2000-04-07,1557.15
2000-04-10,1613.0
2000-04-11,1624.65
2000-04-12,1592.7
2000-04-13,1518.65
2000-04-14,1518.65
2000-04-17,1443.55
2000-04-18,1414.8
2000-04-19,1404.95
2000-04-20,1415.65
2000-04-24,1388.0
2000-04-25,1359.45
2000-04-26,1436.1
2000-04-27,1416.9
2000-04-28,1406.55
2000-05-01,1406.55
2000-05-02,1333.45
2000-05-03,1316.05
2000-05-04,1380.55
2000-05-05,1422.4
2000-05-08,1365.05
2000-05-09,1378.55
2000-05-10,1363.15
2000-05-11,1304.55
2000-05-12,1282.8
2000-05-15,1299.25
2000-05-16,1306.85
2000-05-17,1311.65
2000-05-18,1293.4
2000-05-19,1268.0
2000-05-22,1233.0
2000-05-23,1224.4
2000-05-24,1235.9
2000-05-25,1247.65
2000-05-26,1275.35
2000-05-30,1344.85
2000-05-31,1380.45
2000-06-01,1349.0
2000-06-02,1389.25
2000-06-05,1404.6
2000-06-06,1421.75
2000-06-07,1430.35
2000-06-08,1463.65
2000-06-09,1467.2
2000-06-12,1440.4
2000-06-13,1432.9
2000-06-14,1435.5
2000-06-15,1445.25
2000-06-16,1477.3
2000-06-19,1498.75
2000-06-20,1507.1
2000-06-21,1475.15
2000-06-22,1488.25
2000-06-23,1472.2
2000-06-26,1451.65
2000-06-27,1454.3
2000-06-28,1470.0
2000-06-29,1492.35
2000-06-30,1471.45
2000-07-03,1495.25
2000-07-05,1526.05
2000-07-06,1516.8
2000-07-07,1517.6
2000-07-10,1509.65
2000-07-11,1518.55
2000-07-12,1533.35
2000-07-13,1522.6
2000-07-14,1509.75
2000-07-17,1479.65
2000-07-18,1463.1
2000-07-19,1435.8
2000-07-20,1424.2
2000-07-21,1397.25
2000-07-24,1317.75
2000-07-25,1348.9
2000-07-26,1318.25
2000-07-27,1338.05
2000-07-28,1333.8
2000-07-31,1332.85
2000-08-01,1326.85
2000-08-02,1331.9
2000-08-03,1321.25
2000-08-04,1318.55
2000-08-07,1310.8
2000-08-08,1345.6
2000-08-09,1344.95
2000-08-10,1328.0
2000-08-11,1310.75
2000-08-14,1317.9
2000-08-15,1317.9
2000-08-16,1351.45
2000-08-17,1341.4
2000-08-18,1358.05
2000-08-21,1370.25
2000-08-22,1381.2
2000-08-23,1386.05
2000-08-24,1386.95
2000-08-25,1381.25
2000-08-28,1369.85
2000-08-29,1367.7
2000-08-30,1375.95
2000-08-31,1394.1
2000-09-01,1394.1
2000-09-05,1428.25
2000-09-06,1435.35
2000-09-07,1439.75
2000-09-08,1450.05
2000-09-11,1456.35
2000-09-12,1467.65
2000-09-13,1456.15
2000-09-14,1445.3
2000-09-15,1417.2
2000-09-18,1354.35
2000-09-19,1317.0
2000-09-20,1342.9
2000-09-21,1329.85
2000-09-22,1266.45
2000-09-25,1292.55
2000-09-26,1267.9
2000-09-27,1292.55
2000-09-28,1266.4
2000-09-29,1271.65
2000-10-02,1271.65
2000-10-03,1282.0
2000-10-04,1297.8
2000-10-05,1284.75
2000-10-06,1285.0
2000-10-09,1267.3
2000-10-10,1238.95
2000-10-11,1201.9
2000-10-12,1206.25
2000-10-13,1176.75
2000-10-16,1175.45
2000-10-17,1158.05
2000-10-18,1136.0
2000-10-19,1166.15
2000-10-20,1172.0
2000-10-23,1143.95
